:START_ID(Journal)	:END_ID(Volume)
Applied Mathematics and Computation	250
IEEE Trans. Emerging Topics Comput.	3
Sensors	16
Applied Mathematics and Computation	261
IEEE Network	29
IEEE Trans. Multimedia	17
Applied Mathematics and Computation	258
Appl. Algebra Eng. Commun. Comput.	30
IEEE Internet of Things Journal	2
IEEE Trans. Intelligent Transportation Systems	16
Applied Mathematics and Computation	269
Appl. Algebra Eng. Commun. Comput.	28
IEEE Trans. Industrial Informatics	11
Applied Mathematics and Computation	253
Applied Mathematics and Computation	262
IEEE Access	3
IEEE Trans. Cogn. Comm. &amp; Networking	1
IEEE Trans. Systems, Man, and Cybernetics - Systems	45
IEEE Internet Computing	19
IEEE Pervasive Computing	14
IEEE Wireless Commun. Letters	4
Sensors	18
Applied Mathematics and Computation	252
IEEE Trans. Services Computing	8
IEEE Trans. Comput. Social Systems	2
J. Network and Computer Applications	50
Applied Mathematics and Computation	263
IEEE Trans. Network and Service Management	12
IEEE Trans. Knowl. Data Eng.	27
IEEE Trans. Wireless Communications	14
IEEE Signal Process. Lett.	22
IEEE Trans. Vehicular Technology	64
IEEE Trans. Communications	63
Applied Mathematics and Computation	255
Applied Mathematics and Computation	264
IEEE Access	5
IEEE Trans. Signal Processing	63
IEEE Wireless Commun.	22
IEEE Trans. on Circuits and Systems	62-II
Applied Mathematics and Computation	271
Applied Mathematics and Computation	254
IEEE Communications Magazine	53
Wireless Networks	21
Applied Mathematics and Computation	265
IEEE Computer	48
Appl. Algebra Eng. Commun. Comput.	27
IEEE Signal Process. Mag.	32
IEEE Access	4
IEEE Trans. Industrial Electronics	65
IEEE Trans. Human-Machine Systems	45
Sensors	15
IEEE Trans. Mob. Comput.	14
IEEE Trans. Consumer Electronics	61
IET Information Security	9
Applied Mathematics and Computation	257
Applied Mathematics and Computation	270
Applied Mathematics and Computation	266
IEEE Trans. Circuits Syst. Video Techn.	25
IEEE Trans. Industrial Electronics	63
IEEE Cloud Computing	2
IEEE Trans. Industrial Electronics	64
IEEE Access	7
IEEE/ACM Trans. Netw.	23
IEEE Trans. Dependable Sec. Comput.	12
IEEE Trans. Med. Imaging	34
IEEE/ACM Trans. Comput. Biology Bioinform.	12
IEEE Trans. Parallel Distrib. Syst.	26
IEEE Trans. on CAD of Integrated Circuits and Systems	34
IEEE Consumer Electronics Magazine	4
Wireless Communications and Mobile Computing	15
IEEE Trans. Image Processing	24
IEEE Journal on Selected Areas in Communications	33
IET Communications	9
Applied Mathematics and Computation	256
IEEE Communications Letters	19
Applied Mathematics and Computation	267
IEEE Trans. VLSI Syst.	23
IEEE Access	6
Applied Mathematics and Computation	268
IEEE Communications Surveys and Tutorials	17
Comput. J.	58
IEEE Trans. Industrial Electronics	62
Applied Mathematics and Computation	251
Sensors	17
IEEE Trans. Information Forensics and Security	10
Applied Mathematics and Computation	260
IEEE Trans. Computers	64
IEEE Trans. Multi-Scale Computing Systems	1
IEEE Trans. Automation Science and Engineering	12
Applied Mathematics and Computation	259
IEEE Systems Journal	9
IEEE Trans. Aerospace and Electronic Systems	51
IEEE Trans. Information Theory	61
Appl. Algebra Eng. Commun. Comput.	29
